Epoch: [3][140/157]	Time 1.168	ELBO 4.79313e+05	 MSE: 4.0541e+02	 MSM: 0.0000e+00
Epoch: [3][145/157]	Time 1.274	ELBO 4.73317e+05	 MSE: 4.1141e+02	 MSM: 0.0000e+00
Epoch: [3][150/157]	Time 1.169	ELBO 4.86397e+05	 MSE: 3.9834e+02	 MSM: 0.0000e+00
Epoch: [3][155/157]	Time 1.210	ELBO 4.71712e+05	 MSE: 4.1301e+02	 MSM: 0.0000e+00
Epoch: [4][5/157]	Time 1.199	ELBO 4.85264e+05	 MSE: 3.9946e+02	 MSM: 0.0000e+00
Epoch: [4][10/157]	Time 1.221	ELBO 4.72978e+05	 MSE: 4.1175e+02	 MSM: 0.0000e+00
Epoch: [4][15/157]	Time 1.310	ELBO 4.94163e+05	 MSE: 3.9055e+02	 MSM: 0.0000e+00
Epoch: [4][20/157]	Time 1.203	ELBO 5.10067e+05	 MSE: 3.7464e+02	 MSM: 0.0000e+00
Epoch: [4][25/157]	Time 1.263	ELBO 4.97996e+05	 MSE: 3.8672e+02	 MSM: 0.0000e+00
Epoch: [4][30/157]	Time 1.226	ELBO 5.00043e+05	 MSE: 3.8467e+02	 MSM: 0.0000e+00
Epoch: [4][35/157]	Time 1.170	ELBO 5.01548e+05	 MSE: 3.8316e+02	 MSM: 0.0000e+00
Epoch: [4][40/157]	Time 1.197	ELBO 4.93010e+05	 MSE: 3.9169e+02	 MSM: 0.0000e+00
Epoch: [4][45/157]	Time 1.249	ELBO 5.12975e+05	 MSE: 3.7172e+02	 MSM: 0.0000e+00
Epoch: [4][50/157]	Time 1.195	ELBO 4.91125e+05	 MSE: 3.9358e+02	 MSM: 0.0000e+00
Epoch: [4][55/157]	Time 1.199	ELBO 4.95446e+05	 MSE: 3.8924e+02	 MSM: 0.0000e+00
Epoch: [4][60/157]	Time 1.198	ELBO 5.12365e+05	 MSE: 3.7232e+02	 MSM: 0.0000e+00
Epoch: [4][65/157]	Time 1.192	ELBO 5.26027e+05	 MSE: 3.5867e+02	 MSM: 0.0000e+00
Epoch: [4][70/157]	Time 1.234	ELBO 5.08917e+05	 MSE: 3.7577e+02	 MSM: 0.0000e+00
Epoch: [4][75/157]	Time 1.273	ELBO 5.06296e+05	 MSE: 3.7839e+02	 MSM: 0.0000e+00
Epoch: [4][80/157]	Time 1.212	ELBO 4.99580e+05	 MSE: 3.8510e+02	 MSM: 0.0000e+00
Epoch: [4][85/157]	Time 1.232	ELBO 5.31704e+05	 MSE: 3.5297e+02	 MSM: 0.0000e+00
Epoch: [4][90/157]	Time 1.250	ELBO 5.06915e+05	 MSE: 3.7776e+02	 MSM: 0.0000e+00
Epoch: [4][95/157]	Time 1.204	ELBO 5.15307e+05	 MSE: 3.6937e+02	 MSM: 0.0000e+00
Epoch: [4][100/157]	Time 1.217	ELBO 5.00775e+05	 MSE: 3.8389e+02	 MSM: 0.0000e+00
Epoch: [4][105/157]	Time 1.241	ELBO 5.25006e+05	 MSE: 3.5966e+02	 MSM: 0.0000e+00
Epoch: [4][110/157]	Time 1.210	ELBO 5.17150e+05	 MSE: 3.6751e+02	 MSM: 0.0000e+00
Epoch: [4][115/157]	Time 1.223	ELBO 5.16860e+05	 MSE: 3.6780e+02	 MSM: 0.0000e+00
Epoch: [4][120/157]	Time 1.205	ELBO 5.42945e+05	 MSE: 3.4172e+02	 MSM: 0.0000e+00
Epoch: [4][125/157]	Time 1.204	ELBO 5.12885e+05	 MSE: 3.7177e+02	 MSM: 0.0000e+00
Epoch: [4][130/157]	Time 1.247	ELBO 5.10768e+05	 MSE: 3.7388e+02	 MSM: 0.0000e+00
Epoch: [4][135/157]	Time 1.209	ELBO 5.24702e+05	 MSE: 3.5995e+02	 MSM: 0.0000e+00
Epoch: [4][140/157]	Time 1.293	ELBO 5.53500e+05	 MSE: 3.3115e+02	 MSM: 0.0000e+00
Epoch: [4][145/157]	Time 1.237	ELBO 5.40905e+05	 MSE: 3.4374e+02	 MSM: 0.0000e+00
Epoch: [4][150/157]	Time 1.198	ELBO 5.47838e+05	 MSE: 3.3680e+02	 MSM: 0.0000e+00
Epoch: [4][155/157]	Time 1.225	ELBO 5.59349e+05	 MSE: 3.2529e+02	 MSM: 0.0000e+00
tensor([[0.3333, 0.3333, 0.3333],
        [0.3333, 0.3333, 0.3333],
        [0.3333, 0.3333, 0.3333]], device='cuda:0')
tensor([0.3333, 0.3333, 0.3333], device='cuda:0')
7.379983458266509
Epoch: [5][5/157]	Time 1.285	ELBO 5.84470e+05	 MSE: 3.0016e+02	 MSM: 0.0000e+00
Epoch: [5][10/157]	Time 1.246	ELBO 5.31085e+05	 MSE: 3.5355e+02	 MSM: 0.0000e+00
Epoch: [5][15/157]	Time 1.201	ELBO 5.65441e+05	 MSE: 3.1920e+02	 MSM: 0.0000e+00
